smp2.virtio_net.CustomGuestLinux.virtio_console.spread_linear.virtconsole.open: FAIL (0.49 s)
smp2.virtio_net.CustomGuestLinux.virtio_console.spread_linear.virtconsole.check_zero_sym: FAIL (0.49 s)
smp2.virtio_net.CustomGuestLinux.virtio_console.spread_linear.virtconsole.multi_open: FAIL (0.55 s)
smp2.virtio_net.CustomGuestLinux.virtio_console.spread_linear.virtconsole.close: FAIL (0.49 s)
smp2.virtio_net.CustomGuestLinux.virtio_console.spread_linear.virtconsole.polling: FAIL (0.49 s)
smp2.virtio_net.CustomGuestLinux.virtio_console.spread_linear.virtconsole.sigio: FAIL (0.49 s)
smp2.virtio_net.CustomGuestLinux.virtio_console.spread_linear.virtconsole.lseek: FAIL (0.49 s)
smp2.virtio_net.CustomGuestLinux.virtio_console.spread_linear.virtconsole.rw_blocking_mode: FAIL (0.49 s)
smp2.virtio_net.CustomGuestLinux.virtio_console.spread_linear.virtconsole.basic_loopback: FAIL (0.49 s)
smp2.virtio_net.CustomGuestLinux.virtio_console.spread_linear.virtconsole.rmmod: FAIL (0.55 s)
smp2.virtio_net.CustomGuestLinux.virtio_console.spread_linear.virtconsole.migration.offline: FAIL (0.49 s)
smp2.virtio_net.CustomGuestLinux.virtio_console.spread_linear.virtconsole.migration.online: FAIL (0.49 s)
smp2.virtio_net.CustomGuestLinux.virtio_console.spread_linear.virtconsole.restart.stressed: FAIL (0.54 s)
smp2.virtio_net.CustomGuestLinux.virtio_console.spread_linear.virtconsole.restart.unplugged_ports: FAIL (0.49 s)
smp2.virtio_net.CustomGuestLinux.virtio_console.spread_linear.virtconsole.interrupted_transfer.stop_cont.short: FAIL (0.49 s)
smp2.virtio_net.CustomGuestLinux.virtio_console.spread_linear.virtconsole.interrupted_transfer.stop_cont.long: FAIL (0.49 s)
smp2.virtio_net.CustomGuestLinux.virtio_console.spread_linear.virtconsole.interrupted_transfer.replug_recv.short: FAIL (0.55 s)
smp2.virtio_net.CustomGuestLinux.virtio_console.spread_linear.virtconsole.interrupted_transfer.replug_recv.long: FAIL (0.56 s)
smp2.virtio_net.CustomGuestLinux.virtio_console.spread_linear.virtconsole.interrupted_transfer.replug_send.short: FAIL (0.49 s)
smp2.virtio_net.CustomGuestLinux.virtio_console.spread_linear.virtconsole.interrupted_transfer.replug_send.long: FAIL (0.56 s)
smp2.virtio_net.CustomGuestLinux.virtio_console.spread_linear.virtconsole.interrupted_transfer.replug_random.short: FAIL (0.49 s)
smp2.virtio_net.CustomGuestLinux.virtio_console.spread_linear.virtconsole.interrupted_transfer.replug_random.long: FAIL (0.56 s)
smp2.virtio_net.CustomGuestLinux.virtio_console.spread_linear.virtconsole.interrupted_transfer.hibernate.short: FAIL (0.50 s)
smp2.virtio_net.CustomGuestLinux.virtio_console.spread_linear.virtconsole.interrupted_transfer.hibernate.long: FAIL (0.50 s)
smp2.virtio_net.CustomGuestLinux.virtio_console.spread_linear.virtconsole.hotplug.timeout_0: FAIL (10.53 s)
smp2.virtio_net.CustomGuestLinux.virtio_console.spread_linear.virtconsole.hotplug.timeout_1: FAIL (10.54 s)
smp2.virtio_net.CustomGuestLinux.virtio_console.spread_linear.virtconsole.rw_notconnect_guest: FAIL (10.52 s)
smp2.virtio_net.CustomGuestLinux.virtio_console.spread_linear.virtconsole.max_ports: FAIL (10.54 s)
smp2.virtio_net.CustomGuestLinux.virtio_console.spread_linear.loopback.virtserialport.serialport_small: FAIL (0.55 s)
smp2.virtio_net.CustomGuestLinux.virtio_console.spread_linear.loopback.virtserialport.serialport_big: FAIL (0.50 s)
smp2.virtio_net.CustomGuestLinux.virtio_console.spread_linear.loopback.virtconsole.console_small: FAIL (0.55 s)
smp2.virtio_net.CustomGuestLinux.virtio_console.spread_linear.loopback.virtconsole.console_big: FAIL (0.56 s)
smp2.virtio_net.CustomGuestLinux.virtio_console.spread_linear.loopback.virtmixed.mixed_small: FAIL (0.55 s)
smp2.virtio_net.CustomGuestLinux.virtio_console.spread_linear.loopback.virtmixed.mixed_big: FAIL (0.55 s)
smp2.virtio_net.CustomGuestLinux.virtio_console.spread_linear.hotplug_virtio_pci: FAIL (0.50 s)
smp2.virtio_net.CustomGuestLinux.virtio_console.spread_linear.max_serials_and_conosles: FAIL (10.53 s)
smp2.virtio_net.CustomGuestLinux.virtio_console.spread_linear.boot_nr0: FAIL (0.50 s)
smp2.virtio_net.CustomGuestLinux.virtio_console.spread_2.virtserialport.open: FAIL (0.49 s)
smp2.virtio_net.CustomGuestLinux.virtio_console.spread_2.virtserialport.check_zero_sym: FAIL (0.56 s)
smp2.virtio_net.CustomGuestLinux.virtio_console.spread_2.virtserialport.multi_open: FAIL (0.55 s)
smp2.virtio_net.CustomGuestLinux.virtio_console.spread_2.virtserialport.close: FAIL (0.49 s)
smp2.virtio_net.CustomGuestLinux.virtio_console.spread_2.virtserialport.polling: FAIL (0.53 s)
smp2.virtio_net.CustomGuestLinux.virtio_console.spread_2.virtserialport.sigio: FAIL (0.56 s)
smp2.virtio_net.CustomGuestLinux.virtio_console.spread_2.virtserialport.lseek: FAIL (0.56 s)
smp2.virtio_net.CustomGuestLinux.virtio_console.spread_2.virtserialport.rw_host_offline: FAIL (0.56 s)
smp2.virtio_net.CustomGuestLinux.virtio_console.spread_2.virtserialport.rw_host_offline_big_data: FAIL (0.49 s)
smp2.virtio_net.CustomGuestLinux.virtio_console.spread_2.virtserialport.rw_blocking_mode: FAIL (0.55 s)
smp2.virtio_net.CustomGuestLinux.virtio_console.spread_2.virtserialport.rw_nonblocking_mode: FAIL (0.53 s)
smp2.virtio_net.CustomGuestLinux.virtio_console.spread_2.virtserialport.basic_loopback: FAIL (0.55 s)
smp2.virtio_net.CustomGuestLinux.virtio_console.spread_2.virtserialport.rmmod: FAIL (0.56 s)
smp2.virtio_net.CustomGuestLinux.virtio_console.spread_2.virtserialport.migration.offline: FAIL (0.56 s)
smp2.virtio_net.CustomGuestLinux.virtio_console.spread_2.virtserialport.migration.online: FAIL (0.55 s)
smp2.virtio_net.CustomGuestLinux.virtio_console.spread_2.virtserialport.restart.stressed: FAIL (0.56 s)
smp2.virtio_net.CustomGuestLinux.virtio_console.spread_2.virtserialport.restart.unplugged_ports: FAIL (0.55 s)
smp2.virtio_net.CustomGuestLinux.virtio_console.spread_2.virtserialport.interrupted_transfer.stop_cont.short: FAIL (0.56 s)
smp2.virtio_net.CustomGuestLinux.virtio_console.spread_2.virtserialport.interrupted_transfer.stop_cont.long: FAIL (0.50 s)
smp2.virtio_net.CustomGuestLinux.virtio_console.spread_2.virtserialport.interrupted_transfer.hibernate.short: FAIL (0.57 s)
smp2.virtio_net.CustomGuestLinux.virtio_console.spread_2.virtserialport.interrupted_transfer.hibernate.long: FAIL (0.56 s)
smp2.virtio_net.CustomGuestLinux.virtio_console.spread_2.virtserialport.rw_notconnect_guest: FAIL (10.54 s)
smp2.virtio_net.CustomGuestLinux.virtio_console.spread_2.virtconsole.open: FAIL (0.50 s)
smp2.virtio_net.CustomGuestLinux.virtio_console.spread_2.virtconsole.check_zero_sym: FAIL (0.56 s)
smp2.virtio_net.CustomGuestLinux.virtio_console.spread_2.virtconsole.multi_open: FAIL (0.56 s)
smp2.virtio_net.CustomGuestLinux.virtio_console.spread_2.virtconsole.close: FAIL (0.56 s)
smp2.virtio_net.CustomGuestLinux.virtio_console.spread_2.virtconsole.polling: FAIL (0.56 s)
smp2.virtio_net.CustomGuestLinux.virtio_console.spread_2.virtconsole.sigio: FAIL (0.55 s)
smp2.virtio_net.CustomGuestLinux.virtio_console.spread_2.virtconsole.lseek: FAIL (0.56 s)
smp2.virtio_net.CustomGuestLinux.virtio_console.spread_2.virtconsole.rw_blocking_mode: FAIL (0.55 s)
smp2.virtio_net.CustomGuestLinux.virtio_console.spread_2.virtconsole.basic_loopback: FAIL (0.56 s)
smp2.virtio_net.CustomGuestLinux.virtio_console.spread_2.virtconsole.rmmod: FAIL (0.56 s)
smp2.virtio_net.CustomGuestLinux.virtio_console.spread_2.virtconsole.migration.offline: FAIL (0.56 s)
